,Population
0,"['or_', 'gt', 'ma_close_8', 'lag_close_11', 'or_', 'or_', 'or_', 'gt', 'ma_volume_16', 'ma_volume_13', 'gt', 'ma_high_2', 'ma_high_21', 'gt', 'lag_volume_6', 'lag_volume_44', 'gt', 'lag_volume_3', 'ma_volume_28']"
1,"['or_', 'and_', 'gt', 'ma_close_37', 'lag_low_17', 'gt', 'lag_volume_33', 'ma_volume_11', 'gt', 'ma_close_6', 'lag_low_10']"
2,"['or_', 'gt', 'ma_close_4', 'ma_low_13', 'and_', 'and_', 'and_', 'gt', 'lag_volume_21', 'ma_volume_24', 'gt', 'ma_low_22', 'lag_low_23', 'gt', 'lag_volume_40', 'ma_volume_14', 'gt', 'lag_volume_38', 'lag_volume_3']"
3,"['or_', 'gt', 'ma_close_28', 'lag_high_22', 'and_', 'and_', 'and_', 'gt', 'lag_volume_21', 'ma_volume_24', 'gt', 'ma_low_22', 'lag_low_23', 'gt', 'lag_volume_40', 'ma_volume_14', 'gt', 'percentage_low_29', 'lag_high_45']"
4,"['and_', 'gt', 'ma_volume_22', 'ma_volume_37', 'gt', 'ma_close_4', 'ma_low_13']"
5,"['or_', 'gt', 'lag_high_3', 'percentage_close_29', 'gt', 'ma_volume_20', 'lag_volume_12']"
6,"['and_', 'and_', 'gt', 'percentage_close_29', 'lag_high_7', 'gt', 'lag_volume_35', 'lag_volume_17', 'gt', 'lag_low_27', 'ma_high_49']"
7,"['and_', 'gt', 'ma_close_33', 'ma_close_38', 'or_', 'gt', 'lag_volume_40', 'lag_volume_39', 'gt', 'ma_volume_13', 'lag_volume_32']"
8,"['and_', 'and_', 'gt', 'ma_volume_43', 'ma_volume_22', 'and_', 'gt', 'ma_close_23', 'ma_open_22', 'gt', 'lag_volume_24', 'ma_volume_14', 'gt', 'lag_volume_38', 'lag_volume_3']"
9,"['and_', 'gt', 'ma_volume_44', 'lag_volume_48', 'or_', 'gt', 'ma_high_18', 'ma_high_46', 'gt', 'ma_high_33', 'lag_close_23']"
10,"['and_', 'and_', 'gt', 'ma_volume_6', 'ma_volume_32', 'gt', 'ma_volume_26', 'ma_volume_24', 'gt', 'lag_volume_17', 'lag_volume_39']"
