Trading Strategy,Bitcoin train,Bitcoin test,Ethereum
Buy-and-Hold,116918.97703677377,1163.7100970760914,4338.1248657593005
MACD Trading Strategy,23212.344970184193,747.6074778499653,2876.4504866721077
Evolve strategy 0,191725.28127442498,1000.0,2753.2454282125204
Evolve strategy 1,193214.98493224214,1516.1594710913091,4063.7893290731095
Evolve strategy 2,188363.36595717235,1389.1011438609512,2436.225275548159
Evolve strategy 3,170036.50121473763,563.1439254009194,1354.6025088516124
Evolve strategy 4,172519.26921337895,650.243320971987,1855.167487435404
Evolve strategy 5,159606.79907801165,709.5754731606997,2133.203010437533
Evolve strategy 6,156436.2306094717,1000.0,2213.520925480428
Evolve strategy 7,182555.35107939897,739.9126918734611,1842.5135788908326
Evolve strategy 8,152366.28365862454,1000.0,5000.02195864987
Evolve strategy 9,157574.46049007523,853.9928232932359,2086.064505568376
Evolve strategy 10,154067.6166539611,1073.7603707515723,2672.227086428939
Evolve strategy 11,149531.2670891487,586.2819864800828,1891.7069472940725
Evolve strategy 12,147916.67737716375,1000.0,2395.102780018716
Evolve strategy 13,151062.31261555,460.91890643252475,1112.4771566595073
Evolve strategy 14,146612.8070024422,1000.0,4191.111892512803
Evolve strategy 15,150036.9911905437,678.518540812711,1680.5964935859456
Evolve strategy 16,152282.9856379216,1039.5403800498036,4132.762910060841
Evolve strategy 17,140801.66902546064,1000.0,1843.9280226375422
Evolve strategy 18,139308.69102589178,947.9909053465996,4310.42702939692
Evolve strategy 19,149165.28735620805,1051.5657945499108,3693.9256391225736
Evolve strategy 20,140334.9355514117,1105.121862814768,8060.747208382657
Evolve strategy 21,138802.82969530096,1075.9483413429664,7246.924371445769
Evolve strategy 22,137192.7277379752,308.9948511699031,2923.205789964583
Evolve strategy 23,145756.3653141614,395.18353685556247,2268.1434989255567
Evolve strategy 24,142836.55666630671,1136.5052801035906,3428.313904464238
Evolve strategy 25,135458.66206461162,1000.0,2368.4479191280243
Evolve strategy 26,145145.6203145153,709.9774030388478,4301.508125192252
Evolve strategy 27,133746.91954285704,1000.0,243.72933102127178
Evolve strategy 28,133085.09014078,1271.3419142867097,1000.0
Evolve strategy 29,135807.6273119751,1000.0,3640.229845875652
Evolve strategy 30,132633.26982873413,867.4816281759275,2683.3550410285434
Evolve strategy 31,131482.62634637527,393.2768602488168,1983.3659422929345
Evolve strategy 32,131112.0640046085,977.4359098039944,3056.39056270367
Evolve strategy 33,134964.93377695672,1101.8247817901315,2665.379164225936
Evolve strategy 34,129824.37566490467,758.700775454412,508.2953798196666
Evolve strategy 35,129769.83249743123,635.1549719194586,3862.2954788056268
Evolve strategy 36,136071.72905260167,641.0911068934103,2934.8130252071496
Evolve strategy 37,140651.33060931222,1000.0,2115.9677827660553
Evolve strategy 38,128537.01156997682,1000.0,2323.1978000959584
Evolve strategy 39,129113.2255851593,1197.669979537606,3900.1348510229786
Evolve strategy 40,126260.16060921118,865.5679083600695,2883.785000270547
Evolve strategy 41,132385.48998129708,654.931116211981,3740.670649889543
Evolve strategy 42,125202.1963177545,1199.524347386504,4123.525853989484
Evolve strategy 43,128569.39395000544,1243.94485901019,9632.31730467329
Evolve strategy 44,124993.342101173,804.2896131245659,1000.0
Evolve strategy 45,143791.7201769745,1208.2804914961594,2383.2857925650205
Evolve strategy 46,146994.94603694166,762.7096532182115,2181.529755838058
Evolve strategy 47,124084.47208899281,804.2896131245659,171.94210178975646
Evolve strategy 48,124019.40344053153,1000.0,7157.586524805672
Evolve strategy 49,123708.10270468838,729.4512161189579,4116.161046023158
Evolve strategy 50,128891.72041894111,1000.0,1716.93519221301
Evolve strategy 51,122376.7638381479,561.1452586421351,2510.8593737752826
Evolve strategy 52,121511.86594828653,639.6834309333311,4896.589410134634
Evolve strategy 53,127440.15787625438,965.1663651729381,4645.265602514948
Evolve strategy 54,125625.78533938815,370.1122745537166,2393.8859469014105
Evolve strategy 55,121367.98810411913,1327.9184501137174,4535.995729356098
Evolve strategy 56,121017.79902615193,1000.0,4787.872172226103
Evolve strategy 57,124869.77186055848,423.8386245296433,2920.524387310282
Evolve strategy 58,120950.35406709767,731.9753692128688,4652.48259124224
Evolve strategy 59,119904.76189059607,1135.629725515829,2548.442178861994
Evolve strategy 60,125072.48207902099,1000.0,3195.8401319701256
Evolve strategy 61,118893.15913972484,1000.0,2655.0543884757576
Evolve strategy 62,127082.22456646727,506.62954929711333,1829.413180671434
Evolve strategy 63,126257.62081487107,549.9989330718462,3662.506668358284
Evolve strategy 64,125010.64510425912,564.412732375737,2401.6432777565396
Evolve strategy 65,130507.29102706362,1240.1374946929539,1095.2496466733303
Evolve strategy 66,117665.18528183259,1130.5727713812328,1000.0
Evolve strategy 67,117604.10349937939,1000.0,2365.590130189264
Evolve strategy 68,162285.34086071522,835.4804876363625,5668.719432483664
Evolve strategy 69,147173.97535425462,1416.6334908762378,4534.781766585947
Evolve strategy 70,120726.5771267726,1014.5374814681498,2285.1602836501334
Evolve strategy 71,116558.34276403088,714.5847104762978,2169.6997001589543
Evolve strategy 72,116350.41319465266,1198.248655974315,2202.1203983597597
Evolve strategy 73,115074.1638454026,1218.5881907139817,4350.9095583045355
Evolve strategy 74,113851.3467775478,1299.4755646722267,4541.315670218784
Evolve strategy 75,129004.89697776541,1027.6578231096098,4135.091498441918
Evolve strategy 76,112778.0903954146,1135.629725515829,1378.6982049016312
Evolve strategy 77,112476.4872596941,1000.0,3395.2328439222774
Evolve strategy 78,112116.81308916547,1000.0,1572.0110491355638
Evolve strategy 79,117114.58577232994,499.5892235645935,2072.207519446302
