,Population
0,"['or_', 'or_', 'gt', 'ma_volume_6', 'lag_volume_43', 'gt', 'ma_close_4', 'ma_close_38', 'or_', 'gt', 'ma_low_47', 'lag_low_5', 'gt', 'lag_open_47', 'lag_open_14']"
1,"['or_', 'and_', 'gt', 'lag_open_6', 'ma_high_38', 'or_', 'gt', 'lag_volume_34', 'ma_volume_12', 'or_', 'gt', 'lag_close_13', 'lag_close_39', 'gt', 'ma_open_39', 'ma_close_37', 'gt', 'ma_open_16', 'ma_high_43']"
2,"['or_', 'and_', 'gt', 'ma_close_40', 'lag_open_29', 'or_', 'gt', 'lag_close_8', 'lag_high_36', 'or_', 'gt', 'ma_volume_2', 'ma_volume_23', 'gt', 'ma_open_39', 'ma_close_37', 'gt', 'ma_open_16', 'ma_high_43']"
3,"['or_', 'gt', 'ma_volume_23', 'lag_volume_34', 'or_', 'and_', 'or_', 'gt', 'ma_close_44', 'ma_close_42', 'gt', 'lag_volume_46', 'lag_volume_15', 'gt', 'ma_high_45', 'lag_open_7', 'gt', 'ma_volume_40', 'ma_volume_30']"
4,"['or_', 'gt', 'lag_high_1', 'lag_open_31', 'gt', 'ma_low_20', 'ma_close_36']"
5,"['or_', 'gt', 'ma_open_27', 'ma_high_15', 'gt', 'ma_high_18', 'lag_open_19']"
6,"['or_', 'gt', 'ma_high_18', 'lag_open_19', 'gt', 'ma_open_27', 'ma_high_15']"
7,"['or_', 'or_', 'gt', 'lag_volume_19', 'lag_volume_17', 'gt', 'lag_volume_34', 'ma_volume_13', 'or_', 'gt', 'lag_volume_2', 'lag_volume_30', 'gt', 'lag_high_45', 'ma_open_21']"
8,"['or_', 'gt', 'lag_open_47', 'ma_low_7', 'gt', 'ma_open_13', 'ma_low_18']"
9,"['and_', 'gt', 'lag_open_6', 'ma_high_38', 'gt', 'ma_open_3', 'lag_close_19']"
10,"['or_', 'gt', 'lag_open_6', 'ma_high_38', 'gt', 'lag_close_4', 'lag_high_19']"
11,"['or_', 'gt', 'lag_close_29', 'lag_low_47', 'gt', 'lag_volume_45', 'lag_volume_31']"
12,"['or_', 'gt', 'ma_volume_2', 'ma_volume_23', 'or_', 'and_', 'or_', 'gt', 'ma_close_44', 'ma_close_42', 'gt', 'lag_volume_46', 'lag_volume_15', 'gt', 'ma_open_16', 'ma_high_43', 'gt', 'ma_volume_40', 'ma_volume_30']"
13,"['or_', 'gt', 'ma_open_16', 'ma_close_4', 'gt', 'ma_close_40', 'lag_close_46']"
14,"['or_', 'gt', 'lag_close_29', 'lag_low_47', 'gt', 'ma_volume_14', 'ma_volume_12']"
15,"['or_', 'and_', 'gt', 'lag_volume_38', 'lag_volume_10', 'gt', 'lag_volume_49', 'ma_volume_41', 'or_', 'gt', 'lag_low_18', 'lag_open_30', 'gt', 'lag_open_49', 'ma_close_17']"
16,"['or_', 'gt', 'lag_high_1', 'lag_open_31', 'gt', 'ma_low_25', 'lag_close_7']"
17,"['and_', 'gt', 'ma_volume_5', 'ma_volume_48', 'gt', 'ma_open_45', 'lag_low_27']"
18,"['or_', 'gt', 'lag_volume_25', 'ma_volume_2', 'gt', 'ma_close_40', 'lag_close_46']"
19,"['or_', 'gt', 'lag_volume_12', 'lag_volume_21', 'gt', 'lag_open_3', 'lag_high_23']"
